CensusYear,Industry,County,WorkingPopulation,Population,MeanIncome,pctIndustryEmployement
2011,"Mining, quarrying and turf production",Offaly,585.0,76687.0,35380.0,0.7628411595185625
2016,"Mining, quarrying and turf production",Offaly,455.0,77961.0,35901.0,0.5836251459062864
2011,"Mining, quarrying and turf production",Westmeath,179.0,86164.0,37076.0,0.20774337310245578
2016,"Mining, quarrying and turf production",Westmeath,130.0,88770.0,37856.0,0.14644587135293455
2011,"Mining, quarrying and turf production",Wexford,88.0,145320.0,33672.0,0.060556014313239745
2016,"Mining, quarrying and turf production",Wexford,104.0,149722.0,34430.0,0.06946206970251532
2011,"Mining, quarrying and turf production",Wicklow,98.0,136640.0,41725.0,0.07172131147540983
2016,"Mining, quarrying and turf production",Wicklow,108.0,142425.0,43075.0,0.07582938388625592
2011,"Mining, quarrying and turf production",Clare,97.0,117196.0,38592.0,0.08276732994300147
2016,"Mining, quarrying and turf production",Clare,117.0,118817.0,39716.0,0.09847075755152883
2011,"Mining, quarrying and turf production",Cork,252.0,519032.0,39169.0,0.04855191972749272
2016,"Mining, quarrying and turf production",Cork,224.0,542868.0,41122.0,0.041262332648083884
2011,"Mining, quarrying and turf production",Kerry,121.0,145502.0,34455.0,0.0831603689296367
2016,"Mining, quarrying and turf production",Kerry,121.0,147707.0,34700.0,0.08191893410603424
2011,"Mining, quarrying and turf production",Limerick,152.0,191809.0,38156.0,0.0792454994291196
2016,"Mining, quarrying and turf production",Limerick,123.0,194899.0,39464.0,0.06310961061883334
2011,"Mining, quarrying and turf production",Tipperary,529.0,158754.0,35722.0,0.3332199503634554
2016,"Mining, quarrying and turf production",Tipperary,277.0,159553.0,36390.0,0.17361002300176118
2011,"Mining, quarrying and turf production",Waterford,32.0,113795.0,36959.0,0.02812074344215475
2016,"Mining, quarrying and turf production",Waterford,42.0,116176.0,37279.0,0.03615204517284121
2011,"Mining, quarrying and turf production",Galway,324.0,250653.0,37499.0,0.12926236669818433
2016,"Mining, quarrying and turf production",Galway,341.0,258058.0,39042.0,0.13214083655612305
2011,"Mining, quarrying and turf production",Leitrim,78.0,31798.0,34461.0,0.24529844644317253
2016,"Mining, quarrying and turf production",Leitrim,58.0,32044.0,34848.0,0.18100112345524902
2011,"Mining, quarrying and turf production",Mayo,249.0,130638.0,34117.0,0.19060304046295873
2016,"Mining, quarrying and turf production",Mayo,255.0,130507.0,35036.0,0.1953918180633989
2011,"Mining, quarrying and turf production",Roscommon,209.0,64065.0,35515.0,0.32623117146647934
2016,"Mining, quarrying and turf production",Roscommon,222.0,64544.0,36199.0,0.34395141298958853
2011,"Mining, quarrying and turf production",Sligo,41.0,65393.0,36340.0,0.06269784227669628
