"Type of Private Accommodation","Province County or City","CensusYear","Statistic Label","UNIT","VALUE"
"All households","Dublin","1981","Number of Persons Resident","Number","1003164"
"All households","Dublin","1986","Number of Households","Number","291302"
"All households","Dublin","1986","Number of Persons Resident","Number","1021449"
"All households","Dublin","1991","Number of Households","Number","311958"
"All households","Dublin","1991","Number of Persons Resident","Number","1025304"
"All households","Dublin","1996","Number of Households","Number","344264"
"All households","Dublin","1996","Number of Persons Resident","Number","1058264"
"All households","Dublin","2002","Number of Households","Number","380410"
"All households","Dublin","2002","Number of Persons Resident","Number","1121824"
"All households","Dublin","2006","Number of Households","Number","421454"
"All households","Dublin","2006","Number of Persons Resident","Number","1187995"
"All households","Dublin","2011","Number of Households","Number","468122"
"All households","Dublin","2011","Number of Persons Resident","Number","1279603"
"All households","Dublin","2016","Number of Households","Number","480848"
"All households","Dublin","2016","Number of Persons Resident","Number","1357694"
"All households","Dublin City","1926","Number of Households","Number",""
"All households","Dublin City","1926","Number of Persons Resident","Number",""
"All households","Dublin City","1936","Number of Households","Number",""
"All households","Dublin City","1936","Number of Persons Resident","Number","468103"
"All households","Dublin City","1946","Number of Households","Number",""
"All households","Dublin City","1946","Number of Persons Resident","Number","506051"
"All households","Dublin City","1961","Number of Households","Number",""
"All households","Dublin City","1961","Number of Persons Resident","Number","537448"
"All households","Dublin City","1966","Number of Households","Number",""
"All households","Dublin City","1966","Number of Persons Resident","Number","568772"
"All households","Dublin City","1971","Number of Households","Number",""
"All households","Dublin City","1971","Number of Persons Resident","Number","567866"
"All households","Dublin City","1979","Number of Households","Number","152568"
"All households","Dublin City","1979","Number of Persons Resident","Number","544586"
"All households","Dublin City","1981","Number of Households","Number","151449"
"All households","Dublin City","1981","Number of Persons Resident","Number","525882"
"All households","Dublin City","1986","Number of Households","Number","154754"
"All households","Dublin City","1986","Number of Persons Resident","Number","502749"
"All households","Dublin City","1991","Number of Households","Number","159775"
"All households","Dublin City","1991","Number of Persons Resident","Number","478389"
"All households","Dublin City","1996","Number of Households","Number","173085"
"All households","Dublin City","1996","Number of Persons Resident","Number","481854"
"All households","Dublin City","2002","Number of Households","Number","181521"
"All households","Dublin City","2002","Number of Persons Resident","Number","494115"
"All households","Dublin City","2006","Number of Households","Number","191639"
"All households","Dublin City","2006","Number of Persons Resident","Number","505143"
"All households","Dublin City","2011","Number of Households","Number","208716"
"All households","Dublin City","2011","Number of Persons Resident","Number","528387"
"All households","Dublin City","2016","Number of Households","Number","212483"
"All households","Dublin City","2016","Number of Persons Resident","Number","557871"
"All households","Dún Laoghaire-Rathdown","1926","Number of Households","Number",""
"All households","Dún Laoghaire-Rathdown","1926","Number of Persons Resident","Number",""
"All households","Dún Laoghaire-Rathdown","1936","Number of Households","Number",""
"All households","Dún Laoghaire-Rathdown","1936","Number of Persons Resident","Number",""
"All households","Dún Laoghaire-Rathdown","1946","Number of Households","Number",""
"All households","Dún Laoghaire-Rathdown","1946","Number of Persons Resident","Number",""
"All households","Dún Laoghaire-Rathdown","1961","Number of Households","Number",""
"All households","Dún Laoghaire-Rathdown","1961","Number of Persons Resident","Number",""
"All households","Dún Laoghaire-Rathdown","1966","Number of Households","Number",""
"All households","Dún Laoghaire-Rathdown","1966","Number of Persons Resident","Number",""
