"Type of Private Accommodation","Province County or City","CensusYear","Statistic Label","UNIT","VALUE"
"Permanent private","State","1926","Number of Persons Resident","Number","2790581"
"Permanent private","State","1936","Number of Households","Number","647362"
"Permanent private","State","1936","Number of Persons Resident","Number","2791047"
"Permanent private","State","1946","Number of Households","Number","662654"
"Permanent private","State","1946","Number of Persons Resident","Number","2755490"
"Permanent private","State","1961","Number of Households","Number","676402"
"Permanent private","State","1961","Number of Persons Resident","Number","2686301"
"Permanent private","State","1966","Number of Households","Number","687304"
"Permanent private","State","1966","Number of Persons Resident","Number","2754450"
"Permanent private","State","1971","Number of Households","Number","726363"
"Permanent private","State","1971","Number of Persons Resident","Number","2858603"
"Permanent private","State","1979","Number of Households","Number","867026"
"Permanent private","State","1979","Number of Persons Resident","Number","3229740"
"Permanent private","State","1981","Number of Households","Number","896054"
"Permanent private","State","1981","Number of Persons Resident","Number","3294213"
"Permanent private","State","1986","Number of Households","Number","964882"
"Permanent private","State","1986","Number of Persons Resident","Number","3413171"
"Permanent private","State","1991","Number of Households","Number","1019723"
"Permanent private","State","1991","Number of Persons Resident","Number","3408651"
"Permanent private","State","1996","Number of Households","Number","1114974"
"Permanent private","State","1996","Number of Persons Resident","Number","3505617"
"Permanent private","State","2002","Number of Households","Number","1279617"
"Permanent private","State","2002","Number of Persons Resident","Number","3770742"
"Permanent private","State","2006","Number of Households","Number","1462296"
"Permanent private","State","2006","Number of Persons Resident","Number","4106753"
"Permanent private","State","2011","Number of Households","Number","1649408"
"Permanent private","State","2011","Number of Persons Resident","Number","4500569"
"Permanent private","State","2016","Number of Households","Number","1697665"
"Permanent private","State","2016","Number of Persons Resident","Number","4666376"
"Permanent private","Leinster","1926","Number of Households","Number","244548"
"Permanent private","Leinster","1926","Number of Persons Resident","Number","1057274"
"Permanent private","Leinster","1936","Number of Households","Number","265393"
"Permanent private","Leinster","1936","Number of Persons Resident","Number","1127740"
"Permanent private","Leinster","1946","Number of Households","Number","283025"
"Permanent private","Leinster","1946","Number of Persons Resident","Number","1173705"
"Permanent private","Leinster","1961","Number of Households","Number","315580"
"Permanent private","Leinster","1961","Number of Persons Resident","Number","1262849"
"Permanent private","Leinster","1966","Number of Households","Number","330818"
"Permanent private","Leinster","1966","Number of Persons Resident","Number","1346864"
"Permanent private","Leinster","1971","Number of Households","Number","359329"
"Permanent private","Leinster","1971","Number of Persons Resident","Number","1434054"
"Permanent private","Leinster","1979","Number of Households","Number","448451"
"Permanent private","Leinster","1979","Number of Persons Resident","Number","1673023"
"Permanent private","Leinster","1981","Number of Households","Number","465660"
"Permanent private","Leinster","1981","Number of Persons Resident","Number","1715804"
"Permanent private","Leinster","1986","Number of Households","Number","506233"
"Permanent private","Leinster","1986","Number of Persons Resident","Number","1788422"
"Permanent private","Leinster","1991","Number of Households","Number","540658"
"Permanent private","Leinster","1991","Number of Persons Resident","Number","1802171"
"Permanent private","Leinster","1996","Number of Households","Number","597049"
"Permanent private","Leinster","1996","Number of Persons Resident","Number","1862544"
"Permanent private","Leinster","2002","Number of Households","Number","688604"
"Permanent private","Leinster","2002","Number of Persons Resident","Number","2035304"
"Permanent private","Leinster","2006","Number of Households","Number","791277"
"Permanent private","Leinster","2006","Number of Persons Resident","Number","2229076"
"Permanent private","Leinster","2011","Number of Households","Number","895149"
"Permanent private","Leinster","2011","Number of Persons Resident","Number","2456341"
"Permanent private","Leinster","2016","Number of Households","Number","922908"
"Permanent private","Leinster","2016","Number of Persons Resident","Number","2579960"
"Permanent private","Carlow","1926","Number of Households","Number","7403"
"Permanent private","Carlow","1926","Number of Persons Resident","Number","32165"
"Permanent private","Carlow","1936","Number of Households","Number","7602"
"Permanent private","Carlow","1936","Number of Persons Resident","Number","32466"
"Permanent private","Carlow","1946","Number of Households","Number","7678"
"Permanent private","Carlow","1946","Number of Persons Resident","Number","31959"
"Permanent private","Carlow","1961","Number of Households","Number","7576"
"Permanent private","Carlow","1961","Number of Persons Resident","Number","31856"
"Permanent private","Carlow","1966","Number of Households","Number","7702"
"Permanent private","Carlow","1966","Number of Persons Resident","Number","32411"
"Permanent private","Carlow","1971","Number of Households","Number","7968"
"Permanent private","Carlow","1971","Number of Persons Resident","Number","33212"
"Permanent private","Carlow","1979","Number of Households","Number","9359"
"Permanent private","Carlow","1979","Number of Persons Resident","Number","37257"
"Permanent private","Carlow","1981","Number of Households","Number","9741"
"Permanent private","Carlow","1981","Number of Persons Resident","Number","38132"
"Permanent private","Carlow","1986","Number of Households","Number","10554"
"Permanent private","Carlow","1986","Number of Persons Resident","Number","39689"
"Permanent private","Carlow","1991","Number of Households","Number","11135"
"Permanent private","Carlow","1991","Number of Persons Resident","Number","39725"
"Permanent private","Carlow","1996","Number of Households","Number","12185"
"Permanent private","Carlow","1996","Number of Persons Resident","Number","40550"
"Permanent private","Carlow","2002","Number of Households","Number","14790"
"Permanent private","Carlow","2002","Number of Persons Resident","Number","44477"
"Permanent private","Carlow","2006","Number of Households","Number","17074"
"Permanent private","Carlow","2006","Number of Persons Resident","Number","49061"
"Permanent private","Carlow","2011","Number of Households","Number","19365"
"Permanent private","Carlow","2011","Number of Persons Resident","Number","54079"
"Permanent private","Carlow","2016","Number of Households","Number","20465"
"Permanent private","Carlow","2016","Number of Persons Resident","Number","56471"
"Permanent private","Dublin","1926","Number of Households","Number","104815"
"Permanent private","Dublin","1926","Number of Persons Resident","Number","451492"
"Permanent private","Dublin","1936","Number of Households","Number","123517"
"Permanent private","Dublin","1936","Number of Persons Resident","Number","529103"
"Permanent private","Dublin","1946","Number of Households","Number","137989"
"Permanent private","Dublin","1946","Number of Persons Resident","Number","573072"
"Permanent private","Dublin","1961","Number of Households","Number","170855"
"Permanent private","Dublin","1961","Number of Persons Resident","Number","674984"
"Permanent private","Dublin","1966","Number of Households","Number","185823"
"Permanent private","Dublin","1966","Number of Persons Resident","Number","750572"
"Permanent private","Dublin","1971","Number of Households","Number","205861"
"Permanent private","Dublin","1971","Number of Persons Resident","Number","811158"
"Permanent private","Dublin","1979","Number of Households","Number","259952"
"Permanent private","Dublin","1979","Number of Persons Resident","Number","945130"
"Permanent private","Dublin","1981","Number of Households","Number","268629"
"Permanent private","Dublin","1981","Number of Persons Resident","Number","964599"
"Permanent private","Dublin","1986","Number of Households","Number","289378"
"Permanent private","Dublin","1986","Number of Persons Resident","Number","987358"
"Permanent private","Dublin","1991","Number of Households","Number","310076"
"Permanent private","Dublin","1991","Number of Persons Resident","Number","993611"
"Permanent private","Dublin","1996","Number of Households","Number","342256"
"Permanent private","Dublin","1996","Number of Persons Resident","Number","1021878"
"Permanent private","Dublin","2002","Number of Households","Number","378410"
"Permanent private","Dublin","2002","Number of Persons Resident","Number","1081839"
"Permanent private","Dublin","2006","Number of Households","Number","419529"
"Permanent private","Dublin","2006","Number of Persons Resident","Number","1146289"
"Permanent private","Dublin","2011","Number of Households","Number","466461"
"Permanent private","Dublin","2011","Number of Persons Resident","Number","1236518"
"Permanent private","Dublin","2016","Number of Households","Number","479159"
"Permanent private","Dublin","2016","Number of Persons Resident","Number","1307267"
"Permanent private","Dublin City","1926","Number of Households","Number",""
"Permanent private","Dublin City","1926","Number of Persons Resident","Number",""
"Permanent private","Dublin City","1936","Number of Households","Number","99333"
"Permanent private","Dublin City","1936","Number of Persons Resident","Number","424988"
"Permanent private","Dublin City","1946","Number of Households","Number","110914"
"Permanent private","Dublin City","1946","Number of Persons Resident","Number","460418"
"Permanent private","Dublin City","1961","Number of Households","Number","129785"
"Permanent private","Dublin City","1961","Number of Persons Resident","Number","507350"
"Permanent private","Dublin City","1966","Number of Households","Number","134905"
"Permanent private","Dublin City","1966","Number of Persons Resident","Number","538260"
"Permanent private","Dublin City","1971","Number of Households","Number","140812"
"Permanent private","Dublin City","1971","Number of Persons Resident","Number","541610"
"Permanent private","Dublin City","1979","Number of Households","Number","151646"
"Permanent private","Dublin City","1979","Number of Persons Resident","Number","520251"
"Permanent private","Dublin City","1981","Number of Households","Number","150564"
"Permanent private","Dublin City","1981","Number of Persons Resident","Number","502941"
"Permanent private","Dublin City","1986","Number of Households","Number","153859"
"Permanent private","Dublin City","1986","Number of Persons Resident","Number","481279"
"Permanent private","Dublin City","1991","Number of Households","Number","158916"
"Permanent private","Dublin City","1991","Number of Persons Resident","Number","458900"
"Permanent private","Dublin City","1996","Number of Households","Number","172189"
"Permanent private","Dublin City","1996","Number of Persons Resident","Number","458974"
"Permanent private","Dublin City","2002","Number of Households","Number","180661"
"Permanent private","Dublin City","2002","Number of Persons Resident","Number","468234"
"Permanent private","Dublin City","2006","Number of Households","Number","190711"
"Permanent private","Dublin City","2006","Number of Persons Resident","Number","477203"
"Permanent private","Dublin City","2011","Number of Households","Number","207847"
"Permanent private","Dublin City","2011","Number of Persons Resident","Number","499257"
"Permanent private","Dublin City","2016","Number of Households","Number","211591"
"Permanent private","Dublin City","2016","Number of Persons Resident","Number","524687"
"Permanent private","Dún Laoghaire-Rathdown","1926","Number of Households","Number",""
"Permanent private","Dún Laoghaire-Rathdown","1926","Number of Persons Resident","Number",""
"Permanent private","Dún Laoghaire-Rathdown","1936","Number of Households","Number",""
"Permanent private","Dún Laoghaire-Rathdown","1936","Number of Persons Resident","Number",""
"Permanent private","Dún Laoghaire-Rathdown","1946","Number of Households","Number",""
"Permanent private","Dún Laoghaire-Rathdown","1946","Number of Persons Resident","Number",""
"Permanent private","Dún Laoghaire-Rathdown","1961","Number of Households","Number",""
"Permanent private","Dún Laoghaire-Rathdown","1961","Number of Persons Resident","Number",""
"Permanent private","Dún Laoghaire-Rathdown","1966","Number of Households","Number",""
"Permanent private","Dún Laoghaire-Rathdown","1966","Number of Persons Resident","Number",""
"Permanent private","Dún Laoghaire-Rathdown","1971","Number of Households","Number",""
"Permanent private","Dún Laoghaire-Rathdown","1971","Number of Persons Resident","Number",""
"Permanent private","Dún Laoghaire-Rathdown","1979","Number of Households","Number",""
"Permanent private","Dún Laoghaire-Rathdown","1979","Number of Persons Resident","Number",""
"Permanent private","Dún Laoghaire-Rathdown","1981","Number of Households","Number",""
"Permanent private","Dún Laoghaire-Rathdown","1981","Number of Persons Resident","Number",""
"Permanent private","Dún Laoghaire-Rathdown","1986","Number of Households","Number","50734"
"Permanent private","Dún Laoghaire-Rathdown","1986","Number of Persons Resident","Number","175635"
"Permanent private","Dún Laoghaire-Rathdown","1991","Number of Households","Number","56276"
"Permanent private","Dún Laoghaire-Rathdown","1991","Number of Persons Resident","Number","180454"
"Permanent private","Dún Laoghaire-Rathdown","1996","Number of Households","Number","61359"
"Permanent private","Dún Laoghaire-Rathdown","1996","Number of Persons Resident","Number","184574"
"Permanent private","Dún Laoghaire-Rathdown","2002","Number of Households","Number","64071"
"Permanent private","Dún Laoghaire-Rathdown","2002","Number of Persons Resident","Number","186045"
"Permanent private","Dún Laoghaire-Rathdown","2006","Number of Households","Number","68375"
"Permanent private","Dún Laoghaire-Rathdown","2006","Number of Persons Resident","Number","189248"
"Permanent private","Dún Laoghaire-Rathdown","2011","Number of Households","Number","75786"
"Permanent private","Dún Laoghaire-Rathdown","2011","Number of Persons Resident","Number","202509"
"Permanent private","Dún Laoghaire-Rathdown","2016","Number of Households","Number","78568"
"Permanent private","Dún Laoghaire-Rathdown","2016","Number of Persons Resident","Number","213353"
"Permanent private","Fingal","1926","Number of Households","Number",""
"Permanent private","Fingal","1926","Number of Persons Resident","Number",""
"Permanent private","Fingal","1936","Number of Households","Number",""
"Permanent private","Fingal","1936","Number of Persons Resident","Number",""
"Permanent private","Fingal","1946","Number of Households","Number",""
"Permanent private","Fingal","1946","Number of Persons Resident","Number",""
"Permanent private","Fingal","1961","Number of Households","Number",""
"Permanent private","Fingal","1961","Number of Persons Resident","Number",""
"Permanent private","Fingal","1966","Number of Households","Number",""
"Permanent private","Fingal","1966","Number of Persons Resident","Number",""
"Permanent private","Fingal","1971","Number of Households","Number",""
"Permanent private","Fingal","1971","Number of Persons Resident","Number",""
"Permanent private","Fingal","1979","Number of Households","Number",""
"Permanent private","Fingal","1979","Number of Persons Resident","Number",""
"Permanent private","Fingal","1981","Number of Households","Number",""
"Permanent private","Fingal","1981","Number of Persons Resident","Number",""
"Permanent private","Fingal","1986","Number of Households","Number","35162"
"Permanent private","Fingal","1986","Number of Persons Resident","Number","134515"
"Permanent private","Fingal","1991","Number of Households","Number","40333"
"Permanent private","Fingal","1991","Number of Persons Resident","Number","148842"
"Permanent private","Fingal","1996","Number of Households","Number","47271"
"Permanent private","Fingal","1996","Number of Persons Resident","Number","163369"
"Permanent private","Fingal","2002","Number of Households","Number","60460"
"Permanent private","Fingal","2002","Number of Persons Resident","Number","192437"
"Permanent private","Fingal","2006","Number of Households","Number","80085"
"Permanent private","Fingal","2006","Number of Persons Resident","Number","236242"
"Permanent private","Fingal","2011","Number of Households","Number","92951"
"Permanent private","Fingal","2011","Number of Persons Resident","Number","271468"
"Permanent private","Fingal","2016","Number of Households","Number","96607"
"Permanent private","Fingal","2016","Number of Persons Resident","Number","292466"
"Permanent private","South Dublin","1926","Number of Households","Number",""
"Permanent private","South Dublin","1926","Number of Persons Resident","Number",""
"Permanent private","South Dublin","1936","Number of Households","Number",""
"Permanent private","South Dublin","1936","Number of Persons Resident","Number",""
"Permanent private","South Dublin","1946","Number of Households","Number",""
"Permanent private","South Dublin","1946","Number of Persons Resident","Number",""
"Permanent private","South Dublin","1961","Number of Households","Number",""
"Permanent private","South Dublin","1961","Number of Persons Resident","Number",""
"Permanent private","South Dublin","1966","Number of Households","Number",""
"Permanent private","South Dublin","1966","Number of Persons Resident","Number",""
"Permanent private","South Dublin","1971","Number of Households","Number",""
"Permanent private","South Dublin","1971","Number of Persons Resident","Number",""
"Permanent private","South Dublin","1979","Number of Households","Number",""
"Permanent private","South Dublin","1979","Number of Persons Resident","Number",""
"Permanent private","South Dublin","1981","Number of Households","Number",""
"Permanent private","South Dublin","1981","Number of Persons Resident","Number",""
"Permanent private","South Dublin","1986","Number of Households","Number","49623"
"Permanent private","South Dublin","1986","Number of Persons Resident","Number","195929"
"Permanent private","South Dublin","1991","Number of Households","Number","54551"
"Permanent private","South Dublin","1991","Number of Persons Resident","Number","205415"
"Permanent private","South Dublin","1996","Number of Households","Number","61437"
"Permanent private","South Dublin","1996","Number of Persons Resident","Number","214961"
"Permanent private","South Dublin","2002","Number of Households","Number","73218"
"Permanent private","South Dublin","2002","Number of Persons Resident","Number","235123"
"Permanent private","South Dublin","2006","Number of Households","Number","80358"
"Permanent private","South Dublin","2006","Number of Persons Resident","Number","243596"
"Permanent private","South Dublin","2011","Number of Households","Number","89877"
"Permanent private","South Dublin","2011","Number of Persons Resident","Number","263284"
"Permanent private","South Dublin","2016","Number of Households","Number","92393"
"Permanent private","South Dublin","2016","Number of Persons Resident","Number","276761"
"Permanent private","Kildare","1926","Number of Households","Number","11989"
"Permanent private","Kildare","1926","Number of Persons Resident","Number","51813"
"Permanent private","Kildare","1936","Number of Households","Number","12217"
"Permanent private","Kildare","1936","Number of Persons Resident","Number","51339"
"Permanent private","Kildare","1946","Number of Households","Number","13299"
"Permanent private","Kildare","1946","Number of Persons Resident","Number","56554"
"Permanent private","Kildare","1961","Number of Households","Number","14240"
"Permanent private","Kildare","1961","Number of Persons Resident","Number","61347"
"Permanent private","Kildare","1966","Number of Households","Number","14462"
"Permanent private","Kildare","1966","Number of Persons Resident","Number","63817"
"Permanent private","Kildare","1971","Number of Households","Number","16035"
"Permanent private","Kildare","1971","Number of Persons Resident","Number","69314"
"Permanent private","Kildare","1979","Number of Households","Number","22899"
"Permanent private","Kildare","1979","Number of Persons Resident","Number","92166"
"Permanent private","Kildare","1981","Number of Households","Number","25114"
"Permanent private","Kildare","1981","Number of Persons Resident","Number","98770"
"Permanent private","Kildare","1986","Number of Households","Number","29185"
"Permanent private","Kildare","1986","Number of Persons Resident","Number","111628"
"Permanent private","Kildare","1991","Number of Households","Number","32589"
"Permanent private","Kildare","1991","Number of Persons Resident","Number","118672"
"Permanent private","Kildare","1996","Number of Households","Number","38582"
"Permanent private","Kildare","1996","Number of Persons Resident","Number","131215"
"Permanent private","Kildare","2002","Number of Households","Number","50076"
"Permanent private","Kildare","2002","Number of Persons Resident","Number","159591"
"Permanent private","Kildare","2006","Number of Households","Number","60578"
"Permanent private","Kildare","2006","Number of Persons Resident","Number","182730"
"Permanent private","Kildare","2011","Number of Households","Number","70504"
"Permanent private","Kildare","2011","Number of Persons Resident","Number","208004"
"Permanent private","Kildare","2016","Number of Households","Number","73348"
"Permanent private","Kildare","2016","Number of Persons Resident","Number","220354"
"Permanent private","Kilkenny","1926","Number of Households","Number","14877"
"Permanent private","Kilkenny","1926","Number of Persons Resident","Number","66918"
"Permanent private","Kilkenny","1936","Number of Households","Number","14861"
"Permanent private","Kilkenny","1936","Number of Persons Resident","Number","65018"
"Permanent private","Kilkenny","1946","Number of Households","Number","14657"
"Permanent private","Kilkenny","1946","Number of Persons Resident","Number","62531"
"Permanent private","Kilkenny","1961","Number of Households","Number","14292"
"Permanent private","Kilkenny","1961","Number of Persons Resident","Number","58689"
"Permanent private","Kilkenny","1966","Number of Households","Number","14112"
"Permanent private","Kilkenny","1966","Number of Persons Resident","Number","58110"
"Permanent private","Kilkenny","1971","Number of Households","Number","14557"
"Permanent private","Kilkenny","1971","Number of Persons Resident","Number","59080"
"Permanent private","Kilkenny","1979","Number of Households","Number","17139"
"Permanent private","Kilkenny","1979","Number of Persons Resident","Number","65839"
"Permanent private","Kilkenny","1981","Number of Households","Number","17656"
"Permanent private","Kilkenny","1981","Number of Persons Resident","Number","67173"
"Permanent private","Kilkenny","1986","Number of Households","Number","19168"
"Permanent private","Kilkenny","1986","Number of Persons Resident","Number","70124"
"Permanent private","Kilkenny","1991","Number of Households","Number","20294"
"Permanent private","Kilkenny","1991","Number of Persons Resident","Number","70514"
"Permanent private","Kilkenny","1996","Number of Households","Number","22049"
"Permanent private","Kilkenny","1996","Number of Persons Resident","Number","72185"
"Permanent private","Kilkenny","2002","Number of Households","Number","25407"
"Permanent private","Kilkenny","2002","Number of Persons Resident","Number","77238"
"Permanent private","Kilkenny","2006","Number of Households","Number","29478"
"Permanent private","Kilkenny","2006","Number of Persons Resident","Number","84973"
"Permanent private","Kilkenny","2011","Number of Households","Number","33583"
"Permanent private","Kilkenny","2011","Number of Persons Resident","Number","94121"
"Permanent private","Kilkenny","2016","Number of Households","Number","34743"
"Permanent private","Kilkenny","2016","Number of Persons Resident","Number","97276"
"Permanent private","Laois","1926","Number of Households","Number","11235"
"Permanent private","Laois","1926","Number of Persons Resident","Number","48810"
"Permanent private","Laois","1936","Number of Households","Number","11131"
"Permanent private","Laois","1936","Number of Persons Resident","Number","47408"
"Permanent private","Laois","1946","Number of Households","Number","10967"
"Permanent private","Laois","1946","Number of Persons Resident","Number","46179"
"Permanent private","Laois","1961","Number of Households","Number","10620"
"Permanent private","Laois","1961","Number of Persons Resident","Number","43180"
"Permanent private","Laois","1966","Number of Households","Number","10540"
"Permanent private","Laois","1966","Number of Persons Resident","Number","42956"
"Permanent private","Laois","1971","Number of Households","Number","10768"
"Permanent private","Laois","1971","Number of Persons Resident","Number","43714"
"Permanent private","Laois","1979","Number of Households","Number","12192"
"Permanent private","Laois","1979","Number of Persons Resident","Number","47418"
"Permanent private","Laois","1981","Number of Households","Number","12614"
"Permanent private","Laois","1981","Number of Persons Resident","Number","48277"
"Permanent private","Laois","1986","Number of Households","Number","13648"
"Permanent private","Laois","1986","Number of Persons Resident","Number","51103"
"Permanent private","Laois","1991","Number of Households","Number","14130"
"Permanent private","Laois","1991","Number of Persons Resident","Number","50201"
"Permanent private","Laois","1996","Number of Households","Number","15437"
"Permanent private","Laois","1996","Number of Persons Resident","Number","51334"
"Permanent private","Laois","2002","Number of Households","Number","18337"
"Permanent private","Laois","2002","Number of Persons Resident","Number","56724"
"Permanent private","Laois","2006","Number of Households","Number","22421"
"Permanent private","Laois","2006","Number of Persons Resident","Number","65397"
"Permanent private","Laois","2011","Number of Households","Number","27916"
"Permanent private","Laois","2011","Number of Persons Resident","Number","79564"
"Permanent private","Laois","2016","Number of Households","Number","28997"
"Permanent private","Laois","2016","Number of Persons Resident","Number","83310"
"Permanent private","Longford","1926","Number of Households","Number","8912"
"Permanent private","Longford","1926","Number of Persons Resident","Number","38354"
"Permanent private","Longford","1936","Number of Households","Number","8869"
"Permanent private","Longford","1936","Number of Persons Resident","Number","36423"
"Permanent private","Longford","1946","Number of Households","Number","8638"
"Permanent private","Longford","1946","Number of Persons Resident","Number","34485"
"Permanent private","Longford","1961","Number of Households","Number","7825"
"Permanent private","Longford","1961","Number of Persons Resident","Number","29719"
"Permanent private","Longford","1966","Number of Households","Number","7548"
"Permanent private","Longford","1966","Number of Persons Resident","Number","28233"
"Permanent private","Longford","1971","Number of Households","Number","7443"
"Permanent private","Longford","1971","Number of Persons Resident","Number","27491"
"Permanent private","Longford","1979","Number of Households","Number","8253"
"Permanent private","Longford","1979","Number of Persons Resident","Number","29441"
"Permanent private","Longford","1981","Number of Households","Number","8418"
"Permanent private","Longford","1981","Number of Persons Resident","Number","29779"
"Permanent private","Longford","1986","Number of Households","Number","8780"
"Permanent private","Longford","1986","Number of Persons Resident","Number","30373"
"Permanent private","Longford","1991","Number of Households","Number","8827"
"Permanent private","Longford","1991","Number of Persons Resident","Number","29377"
"Permanent private","Longford","1996","Number of Households","Number","9320"
"Permanent private","Longford","1996","Number of Persons Resident","Number","29340"
"Permanent private","Longford","2002","Number of Households","Number","10298"
"Permanent private","Longford","2002","Number of Persons Resident","Number","30153"
"Permanent private","Longford","2006","Number of Households","Number","12042"
"Permanent private","Longford","2006","Number of Persons Resident","Number","33708"
"Permanent private","Longford","2011","Number of Households","Number","14410"
"Permanent private","Longford","2011","Number of Persons Resident","Number","38903"
"Permanent private","Longford","2016","Number of Households","Number","15092"
"Permanent private","Longford","2016","Number of Persons Resident","Number","40715"
"Permanent private","Louth","1926","Number of Households","Number","13595"
"Permanent private","Louth","1926","Number of Persons Resident","Number","59232"
"Permanent private","Louth","1936","Number of Households","Number","14342"
"Permanent private","Louth","1936","Number of Persons Resident","Number","61161"
"Permanent private","Louth","1946","Number of Households","Number","15023"
"Permanent private","Louth","1946","Number of Persons Resident","Number","62748"
"Permanent private","Louth","1961","Number of Households","Number","15681"
"Permanent private","Louth","1961","Number of Persons Resident","Number","64179"
"Permanent private","Louth","1966","Number of Households","Number","16001"
"Permanent private","Louth","1966","Number of Persons Resident","Number","66535"
"Permanent private","Louth","1971","Number of Households","Number","17725"
"Permanent private","Louth","1971","Number of Persons Resident","Number","71964"
"Permanent private","Louth","1979","Number of Households","Number","21671"
"Permanent private","Louth","1979","Number of Persons Resident","Number","82785"
"Permanent private","Louth","1981","Number of Households","Number","22572"
"Permanent private","Louth","1981","Number of Persons Resident","Number","85174"
"Permanent private","Louth","1986","Number of Households","Number","24382"
"Permanent private","Louth","1986","Number of Persons Resident","Number","88975"
"Permanent private","Louth","1991","Number of Households","Number","25728"
"Permanent private","Louth","1991","Number of Persons Resident","Number","88258"
"Permanent private","Louth","1996","Number of Households","Number","27961"
"Permanent private","Louth","1996","Number of Persons Resident","Number","89857"
"Permanent private","Louth","2002","Number of Households","Number","33353"
"Permanent private","Louth","2002","Number of Persons Resident","Number","99708"
"Permanent private","Louth","2006","Number of Households","Number","38598"
"Permanent private","Louth","2006","Number of Persons Resident","Number","109367"
"Permanent private","Louth","2011","Number of Households","Number","43897"
"Permanent private","Louth","2011","Number of Persons Resident","Number","122215"
"Permanent private","Louth","2016","Number of Households","Number","45363"
"Permanent private","Louth","2016","Number of Persons Resident","Number","127566"
"Permanent private","Meath","1926","Number of Households","Number","14393"
"Permanent private","Meath","1926","Number of Persons Resident","Number","60775"
"Permanent private","Meath","1936","Number of Households","Number","14509"
"Permanent private","Meath","1936","Number of Persons Resident","Number","59623"
"Permanent private","Meath","1946","Number of Households","Number","15587"
"Permanent private","Meath","1946","Number of Persons Resident","Number","63518"
"Permanent private","Meath","1961","Number of Households","Number","15596"
"Permanent private","Meath","1961","Number of Persons Resident","Number","63176"
"Permanent private","Meath","1966","Number of Households","Number","15841"
"Permanent private","Meath","1966","Number of Persons Resident","Number","65465"
"Permanent private","Meath","1971","Number of Households","Number","16996"
"Permanent private","Meath","1971","Number of Persons Resident","Number","69877"
"Permanent private","Meath","1979","Number of Households","Number","22380"
"Permanent private","Meath","1979","Number of Persons Resident","Number","87700"
"Permanent private","Meath","1981","Number of Households","Number","23760"
"Permanent private","Meath","1981","Number of Persons Resident","Number","92010"
"Permanent private","Meath","1986","Number of Households","Number","26631"
"Permanent private","Meath","1986","Number of Persons Resident","Number","101292"
"Permanent private","Meath","1991","Number of Households","Number","28596"
"Permanent private","Meath","1991","Number of Persons Resident","Number","103104"
"Permanent private","Meath","1996","Number of Households","Number","31592"
"Permanent private","Meath","1996","Number of Persons Resident","Number","107913"
"Permanent private","Meath","2002","Number of Households","Number","41335"
"Permanent private","Meath","2002","Number of Persons Resident","Number","131127"
"Permanent private","Meath","2006","Number of Households","Number","53575"
"Permanent private","Meath","2006","Number of Persons Resident","Number","160788"
"Permanent private","Meath","2011","Number of Households","Number","61922"
"Permanent private","Meath","2011","Number of Persons Resident","Number","183806"
"Permanent private","Meath","2016","Number of Households","Number","63861"
"Permanent private","Meath","2016","Number of Persons Resident","Number","193727"
"Permanent private","Offaly","1926","Number of Households","Number","11455"
"Permanent private","Offaly","1926","Number of Persons Resident","Number","50351"
"Permanent private","Offaly","1936","Number of Households","Number","11559"
"Permanent private","Offaly","1936","Number of Persons Resident","Number","49118"
"Permanent private","Offaly","1946","Number of Households","Number","11896"
"Permanent private","Offaly","1946","Number of Persons Resident","Number","49672"
"Permanent private","Offaly","1961","Number of Households","Number","12092"
"Permanent private","Offaly","1961","Number of Persons Resident","Number","49721"
"Permanent private","Offaly","1966","Number of Households","Number","12076"
"Permanent private","Offaly","1966","Number of Persons Resident","Number","50216"
"Permanent private","Offaly","1971","Number of Households","Number","12369"
"Permanent private","Offaly","1971","Number of Persons Resident","Number","50496"
"Permanent private","Offaly","1979","Number of Households","Number","14120"
"Permanent private","Offaly","1979","Number of Persons Resident","Number","55206"
"Permanent private","Offaly","1981","Number of Households","Number","14420"
"Permanent private","Offaly","1981","Number of Persons Resident","Number","55881"
"Permanent private","Offaly","1986","Number of Households","Number","15463"
"Permanent private","Offaly","1986","Number of Persons Resident","Number","57787"
"Permanent private","Offaly","1991","Number of Households","Number","15951"
"Permanent private","Offaly","1991","Number of Persons Resident","Number","56580"
"Permanent private","Offaly","1996","Number of Households","Number","17185"
"Permanent private","Offaly","1996","Number of Persons Resident","Number","57157"
"Permanent private","Offaly","2002","Number of Households","Number","19885"
"Permanent private","Offaly","2002","Number of Persons Resident","Number","61651"
"Permanent private","Offaly","2006","Number of Households","Number","23533"
"Permanent private","Offaly","2006","Number of Persons Resident","Number","68936"
"Permanent private","Offaly","2011","Number of Households","Number","26543"
"Permanent private","Offaly","2011","Number of Persons Resident","Number","75875"
"Permanent private","Offaly","2016","Number of Households","Number","27184"
"Permanent private","Offaly","2016","Number of Persons Resident","Number","77404"
"Permanent private","Westmeath","1926","Number of Households","Number","12402"
"Permanent private","Westmeath","1926","Number of Persons Resident","Number","51933"
"Permanent private","Westmeath","1936","Number of Households","Number","12344"
"Permanent private","Westmeath","1936","Number of Persons Resident","Number","50424"
"Permanent private","Westmeath","1946","Number of Households","Number","12536"
"Permanent private","Westmeath","1946","Number of Persons Resident","Number","49714"
"Permanent private","Westmeath","1961","Number of Households","Number","12480"
"Permanent private","Westmeath","1961","Number of Persons Resident","Number","49195"
"Permanent private","Westmeath","1966","Number of Households","Number","12383"
