Year,Industry,County,WorkingPopulation,Population,EarningsEuro,pctIndustryEmployement
2002,Construction,Waterford,3465.0,101546.0,2079.25,3.412246666535363
2006,Construction,Waterford,5000.0,107961.0,2738.67,4.6313020442567225
2011,Construction,Waterford,2005.0,113795.0,2621.92,1.7619403312975086
2016,Construction,Waterford,2052.0,116176.0,2949.46,1.7662856355873846
2002,Construction,Galway,8521.0,209077.0,3864.7,4.075531981040478
2006,Construction,Galway,13158.0,231670.0,5658.09,5.67963050891354
2011,Construction,Galway,5356.0,250653.0,5781.47,2.136818629739121
2016,Construction,Galway,5628.0,258058.0,6649.36,2.1809050678529633
2002,Construction,Leitrim,1140.0,25799.0,445.61,4.418775921547347
2006,Construction,Leitrim,1971.0,28950.0,671.98,6.808290155440415
2011,Construction,Leitrim,700.0,31798.0,722.52,2.2013963142335995
2016,Construction,Leitrim,689.0,32044.0,758.26,2.150168518287355
2002,Construction,Mayo,5357.0,117446.0,2069.46,4.561245167992099
2006,Construction,Mayo,7787.0,123839.0,2794.7,6.288002971600223
2011,Construction,Mayo,3127.0,130638.0,2813.34,2.3936373796292045
2016,Construction,Mayo,3235.0,130507.0,3021.68,2.478794240921943
2002,Construction,Roscommon,2381.0,53774.0,967.07,4.427790381968981
2006,Construction,Roscommon,3690.0,58768.0,1381.36,6.278927307378165
2011,Construction,Roscommon,1403.0,64065.0,1364.72,2.1899633185046437
2016,Construction,Roscommon,1492.0,64544.0,1482.21,2.3116013882002977
2002,Construction,Sligo,2064.0,58200.0,1068.23,3.5463917525773194
2006,Construction,Sligo,3155.0,60894.0,1494.86,5.181134430321542
2011,Construction,Sligo,1224.0,65393.0,1482.28,1.8717599743091766
2016,Construction,Sligo,1165.0,65535.0,1600.14,1.777676050965133
2002,Construction,Cavan,2569.0,56546.0,990.59,4.5432037633077496
2006,Construction,Cavan,4082.0,64003.0,1472.28,6.377826039404402
2011,Construction,Cavan,1765.0,73183.0,1540.72,2.411762294521952
2016,Construction,Cavan,2132.0,76176.0,1752.67,2.798781768536022
2002,Construction,Donegal,5439.0,137575.0,2111.18,3.953479920043613
2006,Construction,Donegal,8124.0,147264.0,2941.41,5.516623207301173
2011,Construction,Donegal,3298.0,161137.0,3104.24,2.046705598341784
2016,Construction,Donegal,3432.0,159192.0,3230.88,2.155887230514096
2002,Construction,Monaghan,2250.0,52593.0,914.77,4.278135873595346
2006,Construction,Monaghan,3543.0,55997.0,1296.83,6.327124667392896
2011,Construction,Monaghan,1591.0,60483.0,1274.55,2.630491212406792
2016,Construction,Monaghan,1777.0,61386.0,1386.76,2.8947968592187143
2002,Wholesale and retail trade,Carlow,2641.0,46014.0,809.06,5.739557525970357
2006,Wholesale and retail trade,Carlow,3261.0,50349.0,1187.51,6.476791991896562
2011,Wholesale and retail trade,Carlow,3500.0,54612.0,1236.43,6.408847872262506
2016,Wholesale and retail trade,Carlow,3360.0,56932.0,1406.4,5.901777559193424
2002,Wholesale and retail trade,Dublin,68262.0,1122821.0,27289.04,6.079508666118643
2006,Wholesale and retail trade,Dublin,74873.0,1187176.0,36109.1,6.306815501661085
2011,Wholesale and retail trade,Dublin,74627.0,1273069.0,37612.95,5.861976059428044
2016,Wholesale and retail trade,Dublin,74552.0,1347359.0,45235.86,5.5331949391364885
2002,Wholesale and retail trade,Kildare,10386.0,163944.0,3741.47,6.3350900307422044
2006,Wholesale and retail trade,Kildare,13013.0,186335.0,5532.02,6.98365846459334
2011,Wholesale and retail trade,Kildare,13856.0,210312.0,5382.11,6.588306896420557
2016,Wholesale and retail trade,Kildare,15037.0,222504.0,6549.12,6.75808075360443
2002,Wholesale and retail trade,Kilkenny,4462.0,80339.0,1420.61,5.553965073003149
2006,Wholesale and retail trade,Kilkenny,5434.0,87558.0,2109.2,6.2061719089060965
